INPUT:id_left	INPUT:id_right	INPUT:json_left	INPUT:json_right	OUTPUT:result	OUTPUT:comments	GOLDEN:result	GOLDEN:comments	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
section-904192	section-909823	"{""sections"":[{""person"":{""name_raw"":""Мыкольнико-Ва Елена Алексеевна"",""role"":""Начальник отдела орг. массовой работы""},""incomes"":[{""size"":867568},{""size"":1611683,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""легковой автомобиль Nissan Qashgai"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":59,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":44,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":44,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":59,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":500,""type_raw"":""садовый участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":18,""type_raw"":""гаражный бокс"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":54,""type_raw"":""Садовый домик"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":21,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":6,""type_raw"":""хозяйственное строение, баня"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":2962,""type_raw"":""машино-место"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Нижний Тагил - городской округ"",""office_id"":1858}]}"	"{""sections"":[{""person"":{""name_raw"":""Мыкольнико-Ва Елена Алексеевна"",""role"":""Начальник отдела орг. массовой работы""},""incomes"":[{""size"":804952},{""size"":1616367,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""легковой автомобиль Nissan Qashqai"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":59,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":44,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":44,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":59,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":500,""type_raw"":""садовый участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":54,""type_raw"":""Садовый домик"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":21,""type_raw"":""гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":6,""type_raw"":""хозяйственное строение, баня"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":2962,""type_raw"":""Машино-место"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Нижний Тагил - городской округ"",""office_id"":1858}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8ccab5eb22f70099c233a	0000094339--5fb8ccab5eb22f70099c233a	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:15:39.309
													
section-2646193	section-2645957	"{""sections"":[{""person"":{""name_raw"":""Долгат Ирина Сергеевна"",""role"":""Главный специалист-эксперт отдела правового, кадрового и финансового обеспечения""},""incomes"":[{""size"":329414}],""year"":""2009"",""source"":""disclosures"",""office"":""Территориальный орган Росздравнадзора Ставропольский край"",""office_id"":4702}]}"	"{""sections"":[{""person"":{""name_raw"":""Долгат Ирина Сергеевна"",""role"":""Главный специалист-эксперт отдела административного, правового и кадрового обеспечения""},""incomes"":[{""size"":241352}],""year"":""2011"",""source"":""disclosures"",""office"":""Территориальный орган Росздравнадзора Ставропольский край"",""office_id"":4702}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8ccb4330c242ad3377b60	0000094339--5fb8ccb4330c242ad3377b60	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:15:48.707
													
section-2520880	section-2520610	"{""sections"":[{""person"":{""name_raw"":""Ласка Вячеслав Ипполитович""},""incomes"":[{""size"":389674},{""size"":223570,""relative"":""супруг(а)""},{""size"":389674},{""size"":0,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""Автомобиль легковой\n\nАвтомобиль легковой\nАвтомобиль грузовой ВАЗ \n21063\n\nТОЙОТА \nCamry\nКАМАЗ \n55111""},{""text"":""Автомобиль легковой РЕНО \nДастер"",""relative"":""супруг(а)""},{""text"":""Автомобиль легковой\n\nАвтомобиль легковой\n\nАвтомобиль грузовой ВАЗ \n21063\n\nТОЙОТА \nCamry\n\nКАМАЗ \n55111""},{""text"":""Автомобиль легковой РЕНО \nДастер"",""relative"":""супруг(а)""}],""real_estates"":[{""square"":1500,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":53,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":4197,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1365,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":207,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":121,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":53,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":17,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":1500,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":53,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":4197,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1365,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":207,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":121,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":53,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":17,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Троицко-Печорский район"",""office_id"":3626}]}"	"{""sections"":[{""person"":{""name_raw"":""Ласка Вячеслав Ипполитович""},""incomes"":[{""size"":354275}],""vehicles"":[{""text"":""Автомобиль легковой (индивидуальная собствен-ность)\n\nАвтомобиль легковой (индивидуальная собствен-ность)\n\nАвтомобиль грузовой (индивидуальная собствен-ность)\n\nИные транспортные средства (индивидуальная собствен-ность) ВАЗ \n21063\n\n\n\n\nТОЙОТА \nCamry\n\n\n\n\nКАМАЗ \n55111\n\n\n\n\nАвтобус \nКАВЗ 685""}],""real_estates"":[{""square"":1500,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":30,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":53,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":37,""type_raw"":""Гараж"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":121,""type_raw"":""Квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":4197,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":1365,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":207,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2018"",""source"":""disclosures"",""office"":""Троицко-Печорский район"",""office_id"":3626}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8ccc0faa09423cde0ad62	0000094339--5fb8ccc0faa09423cde0ad62	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:00.602
													
section-3919446	section-3919981	"{""sections"":[{""person"":{""name_raw"":""Душенковский Н.Н."",""role"":""Начальник управления""},""incomes"":[{""size"":872411},{""size"":175537,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""Легковой автомобиль\nBMW Х5 Е 53""}],""real_estates"":[{""square"":535,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":535,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":535,""type_raw"":""Земельный"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""участок\nЖилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":535,""type_raw"":""Земельный"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""участок\nЖилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Отделение Пенсионного фонда Российской Федерации Алтайский край"",""office_id"":5821}]}"	"{""sections"":[{""person"":{""name_raw"":""Душенковский Н.Н."",""role"":""Начальник управления ПФР"",""department"":""УПФР в г. Славгороде Алтайского края""},""incomes"":[{""size"":1153025},{""size"":300532,""relative"":""супруг(а)""}],""vehicles"":[{""text"":""Легковой автомобиль\nBMW Х5 Е53""}],""real_estates"":[{""square"":535,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":535,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""relative"":""супруг(а)"",""country_raw"":""Россия""},{""square"":535,""type_raw"":""Земельный участок"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""},{""square"":94,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""relative"":""ребенок"",""country_raw"":""Россия""}],""year"":""2018"",""source"":""disclosures"",""office"":""Отделение Пенсионного фонда Российской Федерации Алтайский край"",""office_id"":5821}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cccd5eb22f70099c23fe	0000094339--5fb8cccd5eb22f70099c23fe	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:13.103
													
section-2645957	section-2646067	"{""sections"":[{""person"":{""name_raw"":""Долгат Ирина Сергеевна"",""role"":""Главный специалист-эксперт отдела административного, правового и кадрового обеспечения""},""incomes"":[{""size"":241352}],""year"":""2011"",""source"":""disclosures"",""office"":""Территориальный орган Росздравнадзора Ставропольский край"",""office_id"":4702}]}"	"{""sections"":[{""person"":{""name_raw"":""Долгат Ирина Сергеевна"",""role"":""Главный специалист-эксперт отдела административного, правового и кадрового обеспечения""},""incomes"":[{""size"":235536}],""year"":""2012"",""source"":""disclosures"",""office"":""Территориальный орган Росздравнадзора Ставропольский край"",""office_id"":4702}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8ccd8faa09423cde0add6	0000094339--5fb8ccd8faa09423cde0add6	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:24.578
													
section-2822979	section-4189270	"{""sections"":[{""person"":{""name_raw"":""Исаргаков Марсель Хамитович"",""role"":""Судебный пристав-исполнитель""},""incomes"":[{""size"":260014}],""vehicles"":[{""text"":""форд фокус""}],""year"":""2010"",""source"":""disclosures"",""office"":""Управление Федеральной службы судебных приставов Республика Башкортостан"",""office_id"":4886}]}"	"{""sections"":[{""person"":{""name_raw"":""Исаргаков Марсель Хамитович"",""role"":""судебный пристав-исполнитель""},""incomes"":[{""size"":309068}],""year"":""2013"",""source"":""disclosures"",""office"":""Управление Федеральной службы судебных приставов Республика Башкортостан"",""office_id"":4886}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cce0faa09423cde0adf4	0000094339--5fb8cce0faa09423cde0adf4	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:32.002
													
section-806870	section-807246	"{""sections"":[{""person"":{""name_raw"":""Бакетова Оксана Владимировна"",""role"":""Ведущий специалист комитета по экономике, инвестициям и тарифному регулированию""},""incomes"":[{""size"":644161}],""real_estates"":[{""square"":1386,""type_raw"":""Земельный участок под ИЖС"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":214,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Приволжский район"",""office_id"":2016}]}"	"{""sections"":[{""person"":{""name_raw"":""Бакетова Оксана Владимировна"",""role"":""Ведущий специалист комитета по экономике, инвестициям и тарифному регулированию""},""incomes"":[{""size"":74782}],""real_estates"":[{""square"":1386,""type_raw"":""- Земельный участок под ИЖС"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":214,""type_raw"":""Жилой дом"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":52,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2017"",""source"":""disclosures"",""office"":""Приволжский район"",""office_id"":2016}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8cced5eb22f70099c2484	0000094339--5fb8cced5eb22f70099c2484	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:45.391
													
section-1135574	section-1135169	"{""sections"":[{""person"":{""name_raw"":""Шайн С.Ю."",""role"":""ведущий консультант отдела-информационного центра""},""incomes"":[{""size"":868943}],""vehicles"":[{""text"":""легковые автомобили КИА Спортейдж, Ситроен С4""}],""real_estates"":[{""square"":592,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":41,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2015"",""source"":""disclosures"",""office"":""Избирательная комиссия Тверской области"",""office_id"":431}]}"	"{""sections"":[{""person"":{""name_raw"":""Шайн С.Ю."",""role"":""ведущий консультант отдела-информационного центра""},""incomes"":[{""size"":1058298}],""vehicles"":[{""text"":""легковые автомобили КИА Спортейдж, Ситроен С4""}],""real_estates"":[{""square"":41,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":47,""type_raw"":""квартира"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""},{""square"":592,""type_raw"":""земельный участок"",""owntype_raw"":""В собственности"",""country_raw"":""Россия""}],""year"":""2016"",""source"":""disclosures"",""office"":""Избирательная комиссия Тверской области"",""office_id"":431}]}"	YES					https://sandbox.toloka.yandex.com/task/607033/0000094339--5fb8ccf4faa09423cde0ae1f	0000094339--5fb8ccf4faa09423cde0ae1f	dbb19e3ca41ef4f8525cdbee94191a38	APPROVED	2020-11-21T08:16:52.986
													
