Id	Name	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
72	Прокуратура Республики Тува (Тыва)	-1	0	2442877.0	18	2690061.5	16	3469462.0	18	3336863	15	7,71	13	36	4,0	38
73	Прокуратура Тюменской области	1377583.5	26	1534543.5	28	1738486	29	2166457	27	2096893	29	4,84	16	52	3,0	90
74	Прокуратура Удмуртской республики	1481732	35	1582222	35	1657095.0	34	2171632.0	36	-1	0	5,12	14	46	2,0	95
75	Прокуратура Ульяновской области	1261268	31	1283122.5	30	1477254	29	1868729	29	1861162.0	30	4,3	16	47	1,5	95
76	Прокуратура Челябинской области	1563342.5	54	1639631	59	1729502	55	2106584	51	2261866.0	50	5,23	16	44	2,0	184
77	Прокуратура Чеченской республики	1807869.5	20	1865261.5	22	2042844.5	22	2618428.0	22	-1	0	6,17	14	44	3,0	59
78	Прокуратура Чувашской республики	-1	0	1491959	23	1559996.0	26	-1	0	1930257.0	28	4,46	13	29	2,25	19
79	Прокуратура Республики Саха (Якутия)	2906941	33	3073700	35	3220482.0	32	3982125.5	38	4071101	35	9,4	16	40	2,79	110
80	Прокуратура Еврейской автономной области	2179609.0	8	2033039.0	8	2247666	9	2941700	9	2692766	9	6,22	16	23	1,5	28
81	Прокуратура Сахалинской области	2431064	23	2598398.5	24	2751286.0	24	3519221.5	24	3140375	23	7,25	16	29	2,5	65
82	Прокуратура Чукотского автономного округа	3896936	9	3771951.0	6	4401149.5	8	5324959	7	-1	0	12,56	14	36	2,25	16
83	Прокуратура Белгородской области	1317613	25	1391922	25	1444620.5	24	1772271.5	22	1865843	23	4,31	16	41	3,0	83
84	Прокуратура Калужской области	1300046.5	30	1340811.0	30	1423904.0	32	1810870	49	-1	0	4,27	14	39	2,25	79
85	Прокуратура Курганской области	1298924	27	1481762.5	28	1499019	27	1819015.0	28	1971378.5	24	4,55	16	51	2,58	96
86	Прокуратура Ивановской области	1380230.0	26	1375501	27	1360227.0	30	1625655	21	1890843.0	28	4,37	16	36	1,88	84
87	Прокуратура Смоленской области	1278185	33	1312294.0	34	1477920.0	34	1668889	29	1747054.5	32	4,04	16	36	2,67	112
88	Прокуратура Тверской области	1235082.5	40	1294142	43	1389857	41	1763035.5	44	1901733.0	44	4,39	16	53	3,0	145
90	Глава республики Калмыкия	910992	37	686929.0	80	820874	69	1082994	29	1180995	43	2,73	16	29	1,5	95
96	Губернатор Рязанской области	-1	0	859344	115	851714	113	1005736.0	138	-1	0	2,37	10	17	3,33	194
98	Губернатор Ямало-Ненецкого АО	-1	0	-1	0	3704704	69	-1	0	2857558	1187	6,6	8	-22	None	None
102	Губернатор Красноярского края	719344	111	619019	135	898553	129	1906357.0	18	3152473.5	20	7,28	16	338	4,0	259
108	Губернатор Ленинградской области	1010450	777	-1	0	529877	79	-1	0	-1	0	1,33	7	-47	3,17	3
113	Московская областная Дума	4165254	33	4359559.0	38	4454089.0	34	4930854.0	34	5052320	31	11,67	16	21	1,21	120
114	Государственный совет - Хасэ Республики Адыгея	847547	65	929240	93	716998.0	148	1321942.0	40	1336000	41	3,09	16	57	0,0	177
115	Прокуратура Республики Адыгея	1420557.5	10	1456599	11	1461558	11	1579249	11	1894014	11	4,38	16	33	3,17	33
116	Государственное собрание – Эл Курултай Республики Алтай	707159	73	839830.0	60	819729	57	979064	37	951172	51	2,2	16	34	1,5	152
117	Глава республики Башкортостан	1642676	73	1814114.0	72	1983462	77	2343651	81	2146115	105	4,96	16	30	2,5	239
118	Государственное  собрание – Курултай Республики Башкортостан	2245210	87	2300959	71	1653443	107	2127716.0	80	2826189.0	158	6,53	16	25	1,17	209
119	Глава республики Бурятия	-1	0	-1	0	-1	0	609779.0	68	746357.5	14	1,72	2	22	6,0	13
121	Народный Хурал Республики Бурятия	2063502.5	50	2534931	53	1285563	79	1607235	57	2049208.5	60	4,73	16	0	1,17	172
130	Глава республики Татарстан	1268153	109	1305786.0	110	-1	0	-1	0	1430103.0	112	3,3	16	12	0,33	99
134	Глава Чеченской республики	-1	0	-1	0	-1	0	899387.0	154	930151.5	156	2,15	2	3	5,25	116
136	Губернатор Алтайского края	908070	55	2935071	15	-1	0	3246693.0	16	3314216	17	7,66	16	264	1,0	15
142	Губернатор Хабаровского края	2873585	31	3580397.0	16	3608178	7	4246129.5	6	-1	0	10,01	14	47	0,17	22
146	Правительство Кабардино-Балкарской республики	639338.5	144	1008573	15	826961.0	90	1108832	71	-1	0	2,61	14	73	3,67	83
147	Правительство Карачаево-Черкесской республики	595524	151	584899	125	784917	331	653303	131	919589	147	2,12	16	54	2,75	395
148	Кабинет министров республики Адыгея	605943	221	777765	143	748072	163	1130965.5	142	1142104	175	2,64	16	88	2,5	461
149	Правительство Республики Алтай	887161	59	929468.0	60	879051	61	960919	63	1263837	59	2,92	16	42	2,5	169
150	Правительство республики Башкортостан	1460086.5	42	1599562.0	52	2109205	47	1821557	55	2180713.5	58	5,04	16	49	2,67	158
151	Правительство республики Бурятия	574888	99	299895.0	140	557550	209	711527.5	164	812857	527	1,88	16	41	3,0	226
152	Правительство республики Дагестан	1046459.5	88	960182.5	88	1271976.5	108	1325475	97	-1	0	3,13	14	26	2,67	231
153	Правительство республики Ингушетия	458294	101	529083	105	545555	101	639331	47	937401.5	92	2,17	16	104	2,0	189
154	Правительство республики Калмыкия	645809	93	623529	79	685659.0	46	912565.0	56	762119	91	1,76	16	18	0,83	158
155	Правительство республики Карелия	1290382	37	1623275.0	38	2254259.5	34	1608044.0	82	3390233.5	32	7,83	16	162	5,5	82
156	Правительство республики Коми	1425052	91	2407877.0	28	989677	185	1424570.5	72	1041515	183	2,41	16	-26	2,0	148
157	Правительство республики Марий Эл	386403.5	508	390508	445	601497.0	352	736074	155	2320929	23	5,36	16	500	1,5	692
158	Правительство республики Мордовия	548678	763	375598.0	158	320000	97	281939.5	20	924697	31	2,14	16	68	0,5	192
159	Правительство республики Саха (Якутия)	1116453.5	276	1054449.0	424	1854949	137	1817299.5	162	1969385.0	164	4,55	16	76	1,25	445
160	Правительство республики Северная Осетия - Алания	584593	97	610595	101	616942	217	668226	225	734790	125	1,7	16	25	0,0	378
161	Правительство республики Татарстан	3226242.0	32	3469286	41	1183482.5	176	821526	109	1620130.0	86	3,74	16	-49	1,67	72
162	Правительство республики Тыва	1540483.5	34	1589231	35	1955240	29	1743592	25	1902377	27	4,39	16	23	2,5	89
163	Правительство Республики Хакасия	964388.5	178	985231	177	1020513	197	704226	181	803263.5	310	1,86	16	-16	2,25	430
165	Правительство Чеченской республики	1322902	39	1472828.5	24	1294301.5	40	1300271	41	1525176.5	42	3,52	16	15	1,5	104
166	Правительство Чувашской республики	1836342	25	-1	0	608112.0	96	1656194	21	586444	75	1,35	16	-68	1,25	10
167	Правительство Алтайского края	582041	1313	537650.5	406	610076	495	772864	103	883444.0	94	2,04	16	51	2,0	683
168	Правительство Амурской области	635669	443	633114.0	400	772893.0	448	963307	175	1300622.0	210	3,0	16	104	2,67	776
169	Правительство Архангельской области	1022892.0	364	1210715	309	1240332.0	248	1281080	361	1155376	225	2,67	16	12	1,83	694
170	Правительство Астраханской области	1234630	33	1119212	31	1373250	29	1432647.0	18	1715628.5	26	3,96	16	38	4,88	78
171	Правительство Забайкальского края	801812	17	801775	49	-1	0	1106920.5	60	4504972.5	6	10,41	16	461	5,33	7
172	Правительство Камчатского края	1509503	419	1557668.5	470	1878642.0	460	2550557.5	102	2616817.0	112	6,05	16	73	2,67	860
173	Администрация Кемеровской области	1787056.0	34	1610258	9	3220403.0	12	4741146.0	10	4424176.5	14	10,22	16	147	-0,33	27
174	Правительство Кировской области	578442.0	316	822618	143	817053	207	962909	189	888701	299	2,05	16	53	3,0	492
175	Администрация Костромской области	967316	39	1001344	41	1050472	33	834710.0	74	1062994.5	90	2,46	16	9	3,0	124
176	Правительство Краснодарского края	756240	1517	824340	843	846192.0	862	907358	837	998415.0	836	2,31	16	32	1,67	2717
177	Правительство Красноярского края	974686.0	288	759872	799	721925	1891	861668	1783	1410645	551	3,26	16	44	3,17	2188
178	Правительство Курганской области	1074576.5	96	1123778.0	82	914249.5	84	1580708	39	1980077	37	4,57	16	84	1,0	179
179	Правительство Курской области	495162.5	818	558220	729	643271.5	582	688912	587	675569	669	1,56	16	36	3,5	1930
180	Правительство Ленинградской области	1061441.0	1152	526775	83	2434512	39	2749404.5	34	1464523	111	3,38	16	37	0,5	124
181	Правительство Московской области	5378073.5	12	6299990.0	10	4524124.5	8	-1	0	5102031	11	11,79	16	-5	5,33	11
182	Правительство Мурманской области	2411289.0	52	2467555.5	50	3141309.0	30	3689898	17	4103719	23	9,48	16	70	2,0	76
183	Правительство Ненецкого АО	2145432	31	1563907.0	74	1718655.5	84	2234537.0	54	2899894	19	6,7	16	35	2,17	133
184	Правительство Нижегородской области	1595018.5	182	1754288	181	1904412	133	2168867.0	134	1462786	241	3,38	16	-8	2,33	325
185	Правительство Новгородской области	909024.5	68	1167990.0	70	1287917	91	1568530.0	70	1568836.0	88	3,62	16	72	2,75	221
186	Правительство Пермского края	958868	85	1099743.0	104	1045886.0	100	1292340	103	1377802	111	3,18	16	43	3,0	287
187	Правительство Приморского края	1010630	81	765482.0	46	1213309	39	1512076	45	-1	0	3,57	14	49	2,83	69
188	Правительство Ростовской области	1067984.5	184	1144421.0	198	875944	495	886274.0	338	932311	359	2,15	16	-12	0,67	891
189	Правительство Рязанской области	802264	103	-1	0	-1	0	-1	0	1036971.0	140	2,4	16	29	None	None
190	Правительство Самарской области	1634690.5	50	1353077.0	92	1312312	119	1854715	77	1674099	143	3,87	16	2	4,88	214
191	Правительство Санкт-Петербурга	1313365	641	1170526.0	848	1486715.0	700	1344148.0	1740	1432999.0	6518	3,31	16	9	1,5	2325
192	Правительство Свердловской области	1616292	201	2010895.5	144	1886940	205	2413172	211	2719949.0	148	6,28	16	68	2,83	544
193	Правительство Ставропольского края	767561	677	927111	495	855331.5	616	1056138.0	278	1374150.0	214	3,17	16	79	2,0	1176
194	Правительство Хабаровского края	1586565.0	306	1724465	251	-1	0	-1	0	-1	0	4,51	3	8	3,33	217
195	Правительство Ямало-Ненецкого АО	2534575	1359	2447989	609	2848418	715	3028152.5	660	3060396	71	7,07	16	20	2,67	1109
197	Правительство Белгородской области	605652	873	619704	57	611304	2355	687696	1685	768996	2021	1,78	16	26	2,67	2550
200	Правительство Брянской области	657415	227	1336369	35	1428600.0	38	1931227.0	52	1008633.5	252	2,33	16	53	2,83	121
202	Правительство Владимирской области	1040640.0	132	1078043.0	124	1096365.5	110	1263769.0	114	1229580	131	2,84	16	18	2,0	350
203	Губернатор Волгоградской области	1871278	59	-1	0	-1	0	3197343.0	44	3414837.5	36	7,89	16	82	3,5	41
204	Правительство Волгоградской области	1102648.0	114	2447613.0	66	2534743	69	1881689	87	1416018	11	3,27	16	28	2,33	182
205	Губернатор Вологодской области	845210	291	841725.0	294	-1	0	954321	325	-1	0	2,25	14	12	1,0	244
206	Правительство Вологодской области	547238.5	284	579654.5	152	842098.0	356	946549.5	352	1194681.5	326	2,76	16	118	3,17	691
207	Правительство Воронежской области	945971.5	318	2051598	67	2789155	33	2201808.0	66	3554158	37	8,21	16	275	2,67	141
210	Правительство Ивановской области	883673	159	954091.0	114	1018942	115	1129457.0	140	1259657.0	140	2,91	16	42	2,75	390
212	Правительство Иркутской области	735418.5	244	778455	253	813538	301	873792.0	264	1067208.5	242	2,47	16	45	2,17	689
213	Губернатор Калининградской области	-1	0	847924.0	188	-1	0	945813.5	210	-1	0	2,23	10	11	None	None
214	Правительство Калининградской области	811449.0	202	1054606.5	6	800755.5	222	-1	0	-1	0	2,01	7	-1	-0,38	4
215	Губернатор Калужской области	2181209	7	-1	0	3699147.5	6	4327437	7	-1	0	10,2	14	98	3,58	10
216	Правительство Калужской области	756185	617	690756	165	1050617.5	112	1158870	115	1220101	469	2,82	16	61	4,0	343
219	Глава администрации Липецкой области	-1	0	-1	0	2630443.5	8	4976123.5	6	-1	0	11,73	6	89	17,58	4
220	Правительство Липецкой области	654671.0	416	669562	371	770134	265	800617.5	178	604124.0	18	1,4	16	-7	2,17	683
222	Правительство Магаданской области	1669112	101	2008677.5	42	2036475.0	64	2228234.0	70	2208016.5	68	5,1	16	32	2,5	120
224	Правительство Новосибирской области	1643578.5	78	1599254.5	70	1644963.5	92	1334751	143	1666970	113	3,85	16	1	4,0	273
225	Губернатор Омской области	405112.0	8	-1	0	379449.0	10	-1	0	-1	0	0,95	7	-6	14,5	1
226	Правительство Омской области	2376955	57	1858566.0	46	1691454	55	2745652.0	30	3116060.5	30	7,2	16	31	1,33	101
228	Правительство Оренбургской области	851464	163	1001493	115	1167880.5	102	1011778	217	1051670.5	206	2,43	16	23	1,92	324
230	Правительство Орловской области	564850.5	378	535243	663	527073	623	482984	75	739721	243	1,71	16	30	1,0	976
232	Правительство Пензенской области	1533438	33	1529806.5	34	1493353.0	36	1761723.5	38	1615574.5	34	3,73	16	5	2,38	122
234	Правительство Псковской области	612643.5	220	562019.5	284	617871	253	823039.0	300	954826	347	2,21	16	55	3,79	738
238	Правительство Сахалинской области	2055708.0	74	2092324	97	1696771.5	144	2102751	141	2988484	91	6,9	16	45	2,0	212
240	Правительство Смоленской области	929064	81	943667.0	90	1430371	83	1407070	91	1848280.5	90	4,27	16	98	8,0	275
241	Глава администрации Тамбовской области	2152956	7	2232378	9	-1	0	2949842.5	8	-1	0	6,96	14	37	0,33	6
242	Правительство Тамбовской области	762044	145	765364.0	148	887536.5	144	875004.0	132	1094314	151	2,53	16	43	2,0	442
244	Правительство Тверской области	1191218	109	1440707	99	1395847.0	108	1376596.5	78	1430597.0	104	3,3	16	20	1,5	306
246	Правительство Томской области	1283126	199	1932666	41	2068157	41	5040901.5	12	2272630.0	40	5,25	16	77	0,5	87
249	Губернатор Тюменской области	1383090.5	164	1369646	183	1479344	255	1438113.0	280	-1	0	3,39	14	3	0,67	476
251	Правительство Тюменской области	1418314.5	240	1300258.5	256	1557618	601	1417182	299	1425212.5	24	3,29	16	0	1,0	676
253	Правительство Ульяновской области	460614	441	690080	233	758516	231	925454	213	908197.0	246	2,1	16	97	2,0	692
255	Правительство Челябинской области	1517508	163	1519003	179	1604736.5	182	1914003.5	182	2065420.0	202	4,77	16	36	2,0	592
257	Правительство Ярославской области	776839.0	134	1014856	233	1039589.0	252	1086229.0	290	-1	0	2,56	14	39	0,83	488
261	Правительство Еврейской автономной области	691699	81	931065.5	42	867492.5	116	877860.5	120	960098	147	2,22	16	38	2,92	248
263	Правительство Ханты-мансийского автономного округа - Югры	2347529.0	162	2328406	187	2533995	175	2781205.0	170	2803182.5	98	6,48	16	19	2,0	502
264	Губернатор Чукотского автономного округа	3969648.5	8	4407736.5	10	4887252.0	8	-1	0	1927202	33	4,45	16	-51	0,0	15
267	Законодательное собрание Алтайского края	883984.0	70	985019.0	72	1138880	71	-1	0	-1	0	2,85	7	28	4,0	131
269	Прокуратура Республики Ингушетия	2012545.5	8	-1	0	2404243.5	10	2700580.5	10	2634490	7	6,09	16	30	3,0	17
270	Прокуратура Республики Кабардино-Балкария	1766447	17	2122068.5	16	1977404.5	14	2523555.5	16	2752088.0	12	6,36	16	55	2,0	48
271	Прокуратура Республики Карелия	2629637	21	2676306.0	20	2679348	23	3473167	23	-1	0	8,19	14	32	3,0	59
272	Прокуратура Республики Северная Осетия - Алания	1968778	15	1968502	15	2029928.0	14	2460787	11	3071983.5	14	7,1	16	56	1,5	45
273	Прокуратура Республики Хакасия	1854176	15	2130588.0	14	2646243	11	2958264	15	3312887	13	7,65	16	78	3,67	43
274	Прокуратура Хабаровского края	2110215.0	32	2261220	31	2523169	31	3021163	31	3381931.0	26	7,81	16	60	3,0	84
275	Прокуратура Оренбургской области	1447709.0	48	1484240.5	52	-1	0	2059408.0	50	2042783.0	44	4,72	16	41	1,0	83
276	Прокуратура Рязанской области	1368551	67	1381509	33	1375821.0	30	1668529	31	-1	0	3,93	14	21	1,75	85
277	Прокуратура Томской области	1984595.0	30	2056190.5	60	2219462.0	30	2588941	27	2976674	27	6,88	16	49	2,25	102
278	Прокуратура Ярославской области	1387344	53	1408127.5	28	1707940	21	1857501.0	48	-1	0	4,38	14	33	0,5	65
280	Прокуратура Ханты-Мансийского автономного округа - Югры	2538640.0	24	2691681.0	24	3042722	23	3763436	21	3718810.5	22	8,59	16	46	3,33	77
281	Прокуратура Ямало-Ненецкого автономного округа	2805126.5	18	3231299	17	2802600.0	18	3630324.5	18	-1	0	8,56	14	29	4,67	38
362	Избирательная комиссия Республики Адыгея	1128564.5	36	932818.5	38	1164106.5	16	-1	0	-1	0	2,92	7	3	1,0	55
363	Избирательная комиссия Республики Алтай	761553.0	10	772405.0	12	818992	11	976648.0	10	1018243.5	10	2,35	16	33	0,71	32
364	Избирательная комиссия Республики Башкортостан	1040192	43	914798	47	1406508	57	1336914	75	1389351.0	86	3,21	16	33	3,0	195
366	Избирательная комиссия Республики Дагестан	971223.0	60	742042	65	904279	63	787017.0	60	967538	63	2,24	16	0	0,75	221
368	Избирательная комиссия Кабардино-Балкарской республики	-1	0	-1	0	619976	37	691592.0	40	624683	41	1,44	8	0	1,5	71
370	Избирательная комиссия Карачаево-Черкесской республики	466322	23	-1	0	-1	0	773407	15	1078510.0	22	2,49	16	131	7,0	15
371	Избирательная комиссия Республики Карелия	948863	17	1014407.5	12	1200486	15	1161609	17	2071672.0	12	4,79	16	118	3,0	39
372	Избирательная комиссия Республики Коми	1164788	69	890247.5	70	1248102.5	42	1316445.0	26	1898362.0	20	4,39	16	62	-2,0	138
373	Избирательная комиссия Республики Марий Эл	569525.5	16	496571.5	18	529508.5	22	652770	15	-1	0	1,54	14	14	0,58	40
374	Избирательная комиссия Республики Мордовия	689577	17	772225.5	12	-1	0	727386	9	-1	0	1,72	14	5	-1,0	16
375	Избирательная комиссия Республики Саха (Якутия)	2239505	17	2338172.0	14	3748283	15	2470985	15	3107710.5	14	7,18	16	38	3,17	50
376	Избирательная комиссия Республики Северная Осетия - Алания	454044	143	852602.0	16	753415	29	605352	31	683137	31	1,58	16	50	2,88	76
377	Избирательная комиссия Республики Татарстан	-1	0	-1	0	1401592.0	14	1485078	13	-1	0	3,5	6	5	0,67	17
378	Избирательная комиссия Республики Тува (Тыва)	534687.5	34	429352.5	32	-1	0	-1	0	-1	0	1,12	3	-19	-6,67	29
380	Избирательная комиссия Республики Хакасия	710767.0	46	628116.0	46	855124.5	44	626075	45	943910	45	2,18	16	32	2,33	160
381	Избирательная комиссия Чеченской республики	1132623	9	1441947	9	680800.5	30	1006233.0	10	824925.5	30	1,91	16	-27	3,0	35
382	Избирательная комиссия Чувашской республики	310587	41	543026.0	66	442602.5	44	364554	43	527310	41	1,22	16	69	2,75	149
383	Избирательная комиссия Алтайского края	1279876	13	963053.0	12	1525413	13	1071501	13	1243133	17	2,87	16	-2	4,0	43
384	Избирательная комиссия Забайкальского края	1481342	11	807265.0	12	2050686.0	10	1983446.5	12	1562797	15	3,61	16	5	1,5	38
385	Избирательная комиссия Камчатского края	1572073	33	1065259.0	30	1450522.5	30	1310249.5	28	2029793	29	4,69	16	29	1,33	103
386	Избирательная комиссия Краснодарского края	789763	163	784576.0	172	857366.0	168	770124.0	156	1142038	139	2,64	16	44	1,67	577
387	Избирательная комиссия Красноярского края	639013.5	102	509862	105	820237	103	2034274.5	10	3499629.5	10	8,08	16	447	6,25	214
388	Избирательная комиссия Пермского края	1459990	17	1190788	17	1298078.0	16	1088578.0	22	1722099.5	22	3,98	16	17	-1,5	64
389	Избирательная комиссия Приморского края	1984433	29	1649359.0	26	1940177.0	40	2051256.0	34	2240548.0	42	5,18	16	12	2,75	82
390	Избирательная комиссия Ставропольского края	788592	61	587388	63	775015	61	855933.5	62	1003542.0	62	2,32	16	27	2,83	224
391	Избирательная комиссия Хабаровского края	1568048	33	1466070	33	2325535.0	30	2027820.0	32	1996720.5	30	4,61	16	27	-0,83	121
392	Избирательная комиссия Амурской области	1000911	27	868878.5	34	1372534	33	1056712.0	34	1410303	33	3,26	16	40	1,5	113
393	Избирательная комиссия Архангельской области	862051.5	48	736960	45	1139295	41	799882	43	1291361.0	40	2,98	16	49	6,17	152
394	Избирательная комиссия Астраханской области	1492040.5	8	1005809.0	8	1497867.0	8	1685837.0	8	1564479	7	3,61	16	4	3,5	29
